รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1040010100,ดรอพเอาท์ฟิวส์คัทเอาท์ หนึ่งอินซูเลเตอร์ 33 เควี 100 แอมป์,EA,"3,700.00",พัสดุหลัก,ไม่ใช้
1040050000,ดิสคอนเนคติ้งสวิตช์ 1 ขา 22 เควี 600 แอมป์ ชนิดติดตั้งในระบบจำหน่าย,EA,"5,261.00",พัสดุหลัก,ไม่ใช้
1040050001,ดิสคอนเนคติ้งสวิตช์ 1 ขา 22 เควี 600 แอมป์ 40 เคเอ ชนิดติดตั้งในสถานีเปลี่ยนแรงดัน,EA,"5,596.00",พัสดุหลัก,ไม่ใช้
1040050002,"ดิสคอนเนคติ้งสวิตช์ 1 ขา 22 เควี 1,200 แอมป์ 61 เคเอ ชนิดติดตั้งในสถานีเปลี่ยนแรงดัน",EA,"9,571.00",พัสดุหลัก,ไม่ใช้
1040050100,ดิสคอนเนคติ้งสวิตช์ 1 ขา 33 เควี 600 แอมป์ ชนิดติดตั้งในระบบจำหน่าย,EA,"8,324.00",พัสดุหลัก,ไม่ใช้
1040050101,ดิสคอนเนคติ้งสวิตช์ 1 ขา 33 เควี 600 แอมป์ 40 เคเอ ชนิดติดตั้งในสถานีเปลี่ยนแรงดัน,EA,"9,067.00",พัสดุหลัก,ไม่ใช้
1040050102,"ดิสคอนเนคติ้งสวิตช์ 1 ขา 33 เควี 1,200 แอมป์ ชนิดติดตั้งในสถานีเปลี่ยนแรงดัน",EA,"16,150.00",พัสดุหลัก,ไม่ใช้
1040060200,"แอร์เบรคสวิตช์ 3 ขา 115 เควี 1,200 แอมป์ 61 เคเอ เปิดในแนวราบ",EA,"520,000.00",พัสดุหลัก,ไม่ใช้
1040060207,"AB SW.,3 POLE 115 KV 2,000 A 100 KA. HOR",EA,"520,000.00",พัสดุหลัก,ไม่ใช้
1040070009,"สวิตช์เปิดได้เมื่อมีโหลดชนิด เอส เอฟ ซิกซ์ สามารถใช้การควบคุมระยะไกล 3 เฟส 22  เควี 600 แอมป์ [พร้อมอุปกรณ์ประกอบรหัส 1040070305 , 1040073011 , 1000120005] ",EA,"204,500.00",พัสดุหลัก,ไม่ใช้
